612 50
0 29 4
1 6 5
2 11 2
3 23 3
4 8 2
5 23 4
6 8 2
7 25 5
8 12 6
9 15 3
10 22 8
11 21 3
12 20 5
13 42 2
14 30 6
15 28 9
16 9 4
17 4 6
18 33 9
19 38 5
20 38 9
21 22 1
22 37 6
23 3 7
24 13 1
25 32 9
26 2 6
27 48 2
28 25 5
29 34 6
30 6 8
31 3 9
32 1 1
33 12 9
34 46 1
35 39 8
36 3 6
37 35 6
38 9 4
39 6 3
40 15 1
41 23 6
42 19 4
43 48 6
44 43 8
45 1 6
46 9 3
47 13 8
48 5 6
49 19 5
8 27 2
47 23 3
42 39 1
41 2 3
4 28 2
9 0 3
17 18 1
2 1 1
38 23 1
15 37 3
0 38 4
17 16 4
25 11 1
40 36 4
47 8 4
15 32 4
19 18 3
19 25 2
31 26 3
17 47 2
32 18 3
29 47 3
36 42 1
31 22 4
4 16 1
36 26 3
43 11 3
11 13 3
21 25 3
10 5 4
0 5 1
39 4 1
27 34 2
25 14 4
5 31 2
13 32 1
4 5 4
15 27 4
45 49 1
25 45 4
14 16 1
27 23 2
14 35 3
48 13 4
22 38 2
49 31 3
0 36 2
35 42 3
29 25 4
28 26 3
41 4 4
33 14 1
12 34 2
37 1 4
0 27 3
3 44 4
2 5 2
33 41 2
37 45 2
45 39 4
13 41 2
18 6 2
31 29 4
34 38 4
10 7 3
2 44 2
7 26 1
17 35 3
27 20 4
6 35 3
15 13 4
26 24 1
29 41 4
49 23 2
0 12 3
37 8 1
24 35 4
15 8 4
29 26 1
14 31 3
28 34 3
45 40 2
25 33 2
8 31 1
42 6 3
7 47 1
12 40 2
39 10 1
15 48 3
49 18 3
9 47 1
43 23 3
7 24 1
38 3 4
2 0 1
24 20 1
14 17 4
33 6 2
21 14 3
30 25 1
48 49 1
35 30 2
40 14 3
36 24 2
49 2 4
34 19 4
29 18 1
45 34 3
2 46 2
39 47 4
37 28 1
15 11 3
4 34 1
20 13 1
35 8 2
10 31 4
11 7 4
9 2 2
43 28 1
49 15 3
48 45 3
36 8 1
35 47 2
49 36 1
31 37 3
9 20 3
10 8 4
10 19 4
43 49 4
9 10 3
0 10 2
25 36 2
38 11 2
35 20 3
24 18 1
49 33 4
9 35 4
22 19 4
44 14 4
33 17 3
27 21 3
12 26 3
27 14 2
9 3 2
41 39 1
49 14 3
7 21 4
25 3 2
24 15 1
27 12 3
40 18 3
28 49 2
12 10 2
14 11 2
6 46 1
47 21 4
40 31 4
15 46 1
2 6 1
13 1 1
26 0 3
33 27 1
27 26 1
15 44 2
17 45 1
5 37 1
41 11 1
2 28 3
30 11 2
47 32 1
2 48 3
41 49 3
38 42 3
13 30 4
11 48 2
17 28 3
3 29 4
1 22 4
27 28 3
5 35 3
40 39 2
6 36 2
40 21 1
24 0 3
35 4 4
37 11 1
26 20 4
46 8 1
1 38 4
40 22 1
32 45 3
41 46 2
17 39 3
11 23 3
17 6 3
5 16 2
17 29 2
43 9 2
2 35 1
40 11 1
32 39 2
21 0 4
41 21 2
7 19 1
14 37 4
7 31 3
19 30 1
32 3 2
45 6 2
19 28 3
33 30 3
21 32 4
29 16 4
42 49 3
29 33 2
38 21 2
32 38 4
23 33 4
16 3 3
18 11 3
5 41 4
35 43 4
18 43 3
9 19 4
23 37 4
19 40 3
1 47 2
33 2 2
37 17 2
11 22 1
28 41 1
40 46 1
22 34 2
26 44 1
27 2 2
22 36 3
42 4 2
24 14 3
34 26 2
5 36 1
40 20 4
31 1 3
11 33 1
46 1 2
4 31 2
42 22 2
40 48 4
25 20 1
39 44 4
41 7 1
21 6 2
45 3 3
33 1 2
12 41 3
19 0 2
9 45 1
23 31 4
48 12 3
17 31 3
22 32 3
25 42 2
16 22 2
26 6 3
19 13 4
18 9 2
28 23 4
42 33 4
1 28 3
4 19 2
13 8 1
6 14 1
36 37 3
38 33 4
14 18 2
18 7 1
32 42 2
29 39 4
18 23 2
10 24 2
48 26 1
9 23 4
8 45 2
4 12 1
18 35 3
13 18 2
5 39 4
23 45 3
21 31 2
35 25 2
3 48 4
10 27 3
33 28 3
27 9 4
12 17 1
41 15 1
26 41 1
12 2 3
46 25 1
11 10 4
43 29 4
12 42 2
31 48 2
37 39 4
11 8 3
27 44 2
29 13 1
32 11 4
34 31 3
31 0 2
16 42 2
43 27 2
19 17 3
26 45 1
1 11 1
23 21 2
3 37 2
36 41 3
45 11 2
21 42 1
3 15 4
40 5 3
22 44 2
18 5 2
4 26 4
9 32 4
49 38 3
39 21 1
