612 50
0 26 1
0 15 7
15 40 8
0 5 7
26 37 9
15 29 1
40 48 2
29 11 5
40 39 3
5 18 1
5 49 1
11 17 6
0 41 7
5 47 2
37 12 7
5 23 4
41 8 6
23 30 9
0 13 9
12 36 4
36 45 7
12 42 8
36 6 8
36 2 8
48 35 7
11 3 7
0 33 2
18 10 8
6 25 6
36 22 7
15 27 9
47 44 8
18 28 8
48 20 8
17 1 1
40 43 5
39 46 3
17 16 5
18 7 8
48 31 4
3 21 4
26 38 3
26 4 7
38 32 6
18 9 4
29 24 7
49 34 3
47 19 7
36 14 2
30 7 4
26 13 1
17 27 2
22 21 3
3 17 2
22 13 1
5 10 4
5 11 4
7 38 1
11 25 1
28 33 1
47 38 3
46 43 4
26 45 2
28 1 3
27 18 4
37 34 1
13 30 1
5 39 3
29 23 3
24 41 4
7 21 4
43 25 1
13 5 2
28 13 3
12 49 3
11 37 4
46 7 2
30 24 4
17 18 3
18 12 2
49 20 3
6 33 1
12 45 1
46 35 2
11 0 1
25 24 1
11 15 1
4 35 2
49 31 4
9 29 3
19 41 2
45 34 4
27 0 4
48 27 1
29 5 4
30 29 1
11 24 2
34 33 2
1 20 1
45 43 1
48 23 4
38 15 2
35 40 4
3 46 1
45 16 4
6 17 4
39 8 4
5 24 4
21 42 1
8 3 2
36 0 4
1 36 3
43 41 1
16 36 4
18 34 4
30 18 1
3 28 3
0 14 4
0 4 2
6 34 1
43 26 3
16 6 2
29 25 1
47 45 4
32 4 3
21 14 3
11 21 2
37 29 2
23 11 3
48 14 3
5 48 3
33 26 4
8 45 2
39 15 4
23 45 1
3 6 2
36 3 2
20 2 2
20 16 2
18 41 3
49 7 2
37 2 3
43 20 3
25 7 3
15 31 1
32 17 2
16 24 3
0 31 4
46 19 1
38 16 3
45 17 3
43 38 1
39 24 3
34 12 1
10 39 2
44 8 3
18 40 1
26 19 3
2 32 4
0 34 3
1 21 4
21 10 2
36 43 4
44 36 1
30 9 2
11 42 4
31 17 3
47 30 3
27 41 2
48 2 3
30 12 3
16 42 2
2 42 1
38 48 2
19 32 2
1 46 3
28 10 4
2 47 4
42 18 4
6 7 3
0 2 2
37 35 2
12 11 3
40 12 3
21 27 3
9 17 3
4 12 4
3 2 2
7 23 3
18 15 1
41 49 3
9 7 4
22 32 2
8 20 3
18 29 4
45 3 4
27 7 3
40 45 3
32 26 2
7 33 4
29 6 2
22 14 3
10 19 4
7 12 2
49 44 1
15 23 4
45 41 2
31 11 4
9 40 4
28 34 3
38 12 4
23 16 2
14 40 2
17 28 3
35 36 4
9 20 4
24 33 1
1 42 4
4 3 1
13 6 1
43 12 1
15 49 4
34 31 4
32 30 1
12 9 2
11 44 2
29 1 4
11 33 3
30 38 4
2 39 4
40 37 2
41 6 1
26 47 1
12 15 1
43 19 2
33 9 2
47 21 3
26 34 3
46 6 1
12 16 4
33 19 4
16 10 1
13 8 1
6 18 2
16 46 4
31 43 3
47 28 3
39 12 1
40 10 2
43 29 2
44 48 3
6 8 1
10 11 1
32 20 1
4 9 2
35 43 2
6 20 2
39 13 2
7 39 2
47 12 2
33 12 2
15 35 1
35 6 3
45 38 3
46 49 3
34 35 3
43 5 1
18 33 2
31 1 1
15 43 1
13 33 1
12 23 4
21 45 1
17 38 2
49 24 2
1 2 3
18 39 4
5 44 1
6 49 2
35 8 2
48 37 3
26 25 1
47 46 1
40 22 3
9 22 1
46 15 3
9 28 4
28 8 4
37 16 3
38 37 3
41 32 4
37 24 4
32 16 3
14 30 2
10 33 1
46 17 1
42 15 1
15 36 4
6 24 2
21 6 4
15 47 1
28 45 4
3 29 1
43 42 1
30 46 4
26 29 4
16 3 1
44 12 1
45 11 4
22 5 2
30 21 4
6 30 2
46 13 4
49 1 1
20 29 1
5 30 3
9 13 2
8 46 3
22 18 4
8 30 4
43 33 3
30 36 4
36 49 1
40 46 3
29 14 1
5 25 1
32 35 2
41 46 1
17 15 2
1 27 2
4 22 3
40 6 1
19 35 4
42 23 2
37 10 1
46 2 1
42 30 2
29 12 1
35 16 4
29 44 4
7 40 1
17 5 4
30 34 2
45 31 4
42 20 2
8 10 1
16 43 2
36 42 1
39 43 1
22 25 3
13 24 3
17 47 3
34 9 4
38 44 1
32 27 3
25 3 4
21 2 3
23 24 3
32 42 3
20 19 1
13 23 3
25 44 3
41 37 4
39 19 2
26 14 2
29 47 2
1 35 4
31 37 4
29 49 4
9 21 1
21 15 1
21 40 1
41 4 2
43 0 4
5 20 3
14 35 1
8 37 4
37 19 4
45 35 4
37 47 1
39 20 4
25 1 1
44 31 4
31 30 2
25 13 4
25 39 4
44 4 2
8 11 2
37 42 4
20 18 1
43 48 2
15 22 1
17 12 1
22 23 2
24 22 3
26 15 4
18 21 1
42 29 4
25 16 4
2 23 3
33 42 1
37 44 3
24 0 2
31 13 4
4 29 2
13 48 4
18 35 2
18 1 2
13 45 2
30 16 2
23 17 4
25 33 1
17 21 2
22 35 4
31 9 4
0 17 3
42 14 3
33 29 3
0 45 3
3 5 2
15 2 4
4 48 4
11 6 1
42 4 4
20 12 1
43 1 2
25 27 4
17 34 1
17 36 2
46 28 4
17 8 2
3 12 1
39 1 3
37 49 3
38 34 2
21 20 1
48 42 3
32 12 4
44 9 3
44 14 2
39 3 2
4 36 2
49 32 3
44 7 2
45 20 3
3 49 4
16 11 4
26 1 3
38 0 4
35 38 3
48 26 2
48 25 1
2 5 4
21 24 3
19 27 4
30 41 2
14 34 1
0 18 1
41 10 4
27 35 4
6 43 2
18 25 3
28 0 1
11 40 1
31 33 1
24 26 3
2 7 2
47 27 2
49 2 4
17 33 3
7 19 2
19 22 3
39 45 4
33 44 4
34 42 4
47 42 4
21 4 1
19 49 2
43 47 2
