612 50
0 25 2
0 18 9
0 35 4
35 23 5
35 30 4
25 41 3
35 5 3
30 8 7
23 28 7
28 26 2
28 40 4
23 24 1
24 9 7
35 44 5
9 21 5
8 20 5
24 3 3
18 45 4
20 49 5
25 10 3
26 6 9
6 33 5
3 42 3
30 12 5
0 13 2
0 15 2
15 22 2
8 2 6
28 43 3
23 11 3
0 38 5
13 31 4
12 17 4
42 34 2
17 29 5
11 46 1
49 37 6
38 27 5
21 47 1
27 32 5
12 19 8
42 48 2
41 14 4
9 39 1
17 36 2
36 16 6
23 7 2
20 4 9
37 1 6
6 47 2
34 13 1
45 29 2
17 44 2
18 37 3
26 17 1
24 47 2
24 26 2
27 4 3
6 2 3
27 40 3
45 7 2
46 7 3
6 49 3
12 26 3
6 39 2
0 10 3
2 30 1
1 33 3
7 34 3
46 27 3
44 10 1
31 18 4
35 17 3
40 2 3
3 8 3
15 8 4
31 47 4
29 20 2
7 44 1
8 46 1
8 11 2
14 46 4
22 45 3
38 23 1
34 11 4
3 21 3
25 7 2
8 27 3
47 2 3
11 7 1
48 6 1
32 28 4
0 2 3
49 1 3
16 49 2
3 10 1
36 49 4
45 19 4
11 13 4
28 45 3
7 9 2
6 22 1
38 5 4
43 49 2
35 42 4
14 30 2
40 35 2
49 12 4
36 8 4
10 40 4
36 14 1
31 9 2
6 24 1
17 22 1
20 6 2
20 30 1
18 42 4
27 12 3
29 24 3
26 31 2
43 18 1
10 20 4
8 5 4
23 25 4
43 36 2
17 43 2
27 9 2
10 49 3
32 43 2
23 45 1
17 45 1
44 30 4
19 28 4
48 43 2
22 5 4
29 2 4
20 32 2
10 8 3
12 7 1
5 12 4
5 17 1
13 6 3
7 15 2
5 49 1
37 11 3
4 47 1
10 22 1
25 1 2
22 0 3
32 44 1
39 0 1
17 38 2
37 14 3
17 20 3
32 7 1
28 38 4
28 22 2
0 36 4
33 4 3
49 14 1
25 12 2
46 10 4
13 35 1
36 6 3
1 6 1
11 36 4
36 34 4
36 40 2
46 29 3
48 0 1
33 8 2
34 1 3
24 17 4
18 12 2
41 34 3
9 11 3
18 36 2
13 12 3
38 36 2
46 5 2
2 22 3
42 13 3
25 14 4
25 34 4
1 4 3
27 35 1
2 26 2
28 47 1
19 27 4
47 22 2
38 4 3
45 11 4
6 23 2
30 6 1
26 42 3
2 37 4
49 11 1
2 46 4
11 3 3
18 38 3
48 30 2
19 24 4
16 15 4
4 18 2
38 24 2
0 43 3
48 11 3
34 9 2
14 23 3
4 6 4
37 6 2
41 1 3
7 49 4
38 42 4
38 46 3
44 37 4
1 11 3
35 47 4
36 35 4
40 25 4
46 42 2
19 9 3
45 24 4
4 39 1
32 8 1
10 39 3
26 40 2
16 39 3
42 20 2
0 28 2
26 25 1
49 32 1
27 23 2
25 42 1
0 23 2
8 24 1
30 27 4
31 34 3
35 9 1
28 31 1
35 43 2
27 14 4
47 1 2
49 15 2
34 2 1
12 20 4
32 26 3
15 26 2
49 0 4
25 4 3
47 38 3
33 26 2
34 35 2
13 39 2
31 24 2
34 16 4
32 37 2
21 25 1
37 31 4
23 1 3
19 15 2
10 4 4
22 37 4
5 26 3
44 2 1
23 18 4
14 2 4
29 22 3
33 32 2
38 8 1
31 32 3
27 24 4
39 35 4
12 15 4
49 8 2
7 48 1
25 5 2
7 13 4
16 42 3
17 30 1
44 14 3
44 38 1
30 38 3
43 40 4
19 26 2
37 19 1
19 35 2
9 8 4
34 29 1
43 10 4
42 30 4
19 31 1
41 19 1
37 16 2
12 42 4
47 7 3
45 13 1
48 9 1
31 7 4
1 18 3
1 26 2
6 9 3
41 6 1
41 45 1
48 40 1
38 14 2
36 19 2
46 1 4
47 32 1
30 25 1
33 40 2
13 38 1
42 5 2
30 1 1
36 26 4
29 47 3
31 39 3
28 44 2
34 46 4
36 33 3
45 5 1
41 11 2
0 6 1
15 28 2
15 32 2
37 15 1
32 16 1
16 35 1
37 20 3
38 33 4
20 5 3
17 47 2
39 27 2
41 24 3
2 18 1
29 9 2
7 22 2
14 42 4
2 32 3
39 19 1
2 17 3
3 14 1
37 48 2
42 1 4
38 6 3
39 11 1
30 39 4
42 0 1
7 24 2
17 42 4
47 13 3
21 44 1
45 32 3
37 46 4
46 3 3
3 20 3
4 48 2
10 31 1
8 48 3
38 35 4
14 7 1
7 38 1
5 48 1
49 41 4
17 19 3
19 38 3
10 33 2
16 23 1
46 19 2
27 11 4
29 41 2
26 41 4
24 15 4
47 44 1
4 8 3
22 30 3
3 26 3
39 18 3
9 17 2
48 31 3
23 40 4
30 0 3
23 41 3
47 14 1
20 2 3
2 16 2
9 41 1
21 27 2
0 21 4
18 22 2
32 1 1
34 4 2
29 3 4
32 42 3
1 29 2
6 29 3
37 42 3
22 41 3
15 4 2
45 33 4
41 47 3
21 16 3
43 30 2
7 3 4
29 11 4
46 6 4
11 5 2
25 13 3
9 14 4
31 8 1
33 27 1
14 24 4
9 10 1
6 28 2
40 4 2
18 6 2
47 27 3
40 20 3
48 21 3
35 11 3
48 45 4
0 24 4
18 44 4
16 13 2
36 30 2
38 11 3
16 40 1
25 36 1
11 44 4
44 16 3
46 36 3
14 15 4
33 28 3
34 10 4
35 37 2
25 49 3
16 46 4
22 12 1
45 44 1
34 22 4
11 42 2
20 26 3
31 41 2
44 23 4
11 47 2
27 3 2
48 38 4
13 27 2
25 43 1
3 17 2
39 43 1
0 5 2
23 13 2
18 34 1
4 29 1
47 8 1
43 31 3
28 35 4
27 28 1
43 26 1
18 46 1
15 43 3
22 44 3
5 30 1
38 29 1
48 23 1
20 46 1
22 23 3
24 25 4
39 44 3
28 12 3
41 8 2
3 9 4
13 10 4
23 34 3
16 18 2
22 42 2
37 7 3
20 1 4
37 45 2
45 40 1
46 23 1
32 36 3
33 5 1
0 7 4
21 4 4
40 0 2
47 30 2
49 30 4
16 9 2
48 35 2
34 8 2
49 27 4
3 30 2
36 44 3
26 18 4
30 34 2
7 30 3
8 23 2
14 40 1
39 21 2
4 41 1
19 11 3
0 3 1
44 48 3
49 24 4
11 33 4
34 43 1
14 12 2
24 46 1
17 49 3
48 29 4
44 5 2
37 25 4
42 47 3
38 22 3
5 4 3
20 28 1
8 14 2
15 42 3
4 28 3
29 31 4
28 21 2
20 45 3
44 46 3
15 17 4
21 29 2
22 43 2
44 0 3
20 21 4
7 10 4
19 29 1
33 2 1
34 44 3
39 47 2
45 27 1
30 46 3
48 15 3
25 20 4
34 48 3
43 29 4
16 47 1
32 34 1
37 12 2
12 47 3
2 19 3
14 22 3
26 27 4
11 2 2
30 31 2
4 31 1
10 5 4
43 7 2
5 34 3
21 7 1
10 45 3
33 22 1
4 45 1
15 9 1
21 42 3
4 17 2
20 44 3
9 0 4
36 2 2
38 25 2
5 31 2
22 26 4
26 10 1
13 32 1
16 26 4
4 9 1
38 15 4
29 8 2
17 8 2
3 36 4
19 8 2
33 14 4
36 37 4
34 38 4
34 40 2
32 46 1
28 30 4
35 31 2
8 0 3
49 45 1
38 16 4
35 2 1
43 27 2
17 48 4
42 39 1
22 20 2
37 39 4
35 8 1
8 37 4
33 37 2
25 11 1
49 21 4
43 1 4
21 37 3
43 13 2
43 47 2
32 12 2
25 48 2
31 1 4
46 35 4
12 40 4
2 24 4
34 28 1
33 35 3
35 12 4
8 21 4
47 40 4
